City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto ayora,-0.7393,-90.3518,24.19,93,39,3.58,EC,1690509955
83,bonnyville,54.2668,-110.735,15.89,67,39,1.65,CA,1690509955
84,ypsonas,34.6884,32.9574,29.04,74,0,2.06,CY,1690509955
85,avarua,-21.2078,-159.775,25.03,69,90,2.06,CK,1690509956
86,junin de los andes,-39.9504,-71.0694,4.86,96,100,2.21,AR,1690509956
87,gobabis,-22.45,18.9667,13.01,38,7,5.29,NA,1690509956
88,joacaba,-27.1781,-51.5047,15.25,98,75,0.34,BR,1690509709
89,usogorsk,63.4106,48.6872,14.51,96,88,2.92,RU,1690509956
90,plesetsk,62.708,40.2916,13.54,91,100,1.76,RU,1690509956
91,paradsasvar,47.9126,19.9771,15.42,61,100,1.89,HU,1690509957
92,puerto natales,-51.7236,-72.4875,-3.66,86,100,1.42,CL,1690509801
93,lihue,21.9789,-159.3672,30.58,68,20,7.2,US,1690509957
94,pisco,-13.7,-76.2167,19.03,77,0,5.14,PE,1690509896
95,yerofey pavlovich,53.9667,121.9667,16.55,95,100,1.88,RU,1690509957
96,isna,25.2934,32.554,30.01,17,2,2.55,EG,1690509958
97,hithadhoo,-0.6,73.0833,28.4,78,94,6.86,MV,1690509958
98,isafjordur,66.0755,-23.124,6.63,92,100,3.88,IS,1690509959
99,phek,25.6667,94.5,19.25,90,95,0.13,IN,1690509960
100,tolanaro,-25.0319,46.9987,19.04,72,20,5.14,MG,1690509960
101,brisas de zicatela,15.8369,-97.0419,30.29,66,75,0.0,MX,1690509960
102,udachny,66.4167,112.4,21.92,40,92,2.64,RU,1690509961
103,merizo village,13.2658,144.6691,27.31,96,100,4.42,GU,1690509961
104,bredasdorp,-34.5322,20.0403,8.92,90,0,1.57,ZA,1690509828
105,porto novo,6.4965,2.6036,25.9,91,100,3.61,BJ,1690509961
106,susuman,62.7833,148.1667,8.61,74,100,0.71,RU,1690509961
107,chegdomyn,51.1167,133.0167,22.04,84,100,1.09,RU,1690509962
